Country,Year,Forest%
France,2016,31.23
Italy,2016,31.79
Germany,2016,32.69
Finland,2016,73.11
United Kingdom,2016,13.07
Spain,2016,36.94
Austria,2016,46.91
Sweden,2016,68.92
Denmark,2016,14.7
Poland,2016,30.88
Netherlands,2016,11.18
Ireland,2016,11.03
