TIME,GEO,Value
2020,France,67204763
2020,Germany,83159604
2020,Finland,5528576
2020,United Kingdom,67086777
2020,Spain,47054924
2020,Austria,8908676
2020,Italy,60233172
2020,Sweden,10348449
2020,Denmark,5839809
2020,Poland,37968244
2020,Netherlands,17342709
2020,Ireland,4943466
