country,year,forest,population
France,2016,31.23,67204763
Italy,2016,31.79,60233172
Germany,2016,32.69,83159604
Finland,2016,73.11,5528576
United Kingdom,2016,13.07,67086777
Spain,2016,36.94,47054924
Austria,2016,46.91,8908676
Sweden,2016,68.92,10348449
Denmark,2016,14.7,5839809
Poland,2016,30.88,37968244
Netherlands,2016,11.18,17342709
Ireland,2016,11.03,4943466
